Control,Baseline,Day 1,Day 3,Day 5,Day 8,Day 10,Day 12
HR,113.388,102.936,98.487,111.863,83.03,107.911,95.8925
HRV,100.203,128.175,106.16,121.74,109.96,143.473,164.065
QRS,36.182,36.4202,36.2308,35.8852,36.087,35.9235,35.9862
PR,56.3843,66.3688,61.8324,68.9134,56.9749,63.3108,64.3774
QTc,265.879,273.072,260.321,281.528,240.715,265.858,262.73
,,,,,,,
Treatment,Baseline,Day 1,Day 3,Day 5,Day 8,Day 10,Day 12
HR,107.397,93.108,100.824,79.773,67.285,71.168,68.9918
HRV,123.868,178.254,162.132,338.574,256.29,230.38,181.203
QRS,35.7601,36.0198,36.2473,36.4314,36.1187,36.0408,35.8254
PR,54.0035,55.9993,58.169,57.5454,56.0651,56.7997,56.6369
QTc,268.73,255.141,259.195,226.805,211.872,223.104,222.199
,,,,,,,
STD ERROR,,,,,,,
Ctrl,Baseline,Day 1,Day 3,Day 5,Day 8,Day 10,Day 12
HR,5.7652,9.3181,10.824,7.5989,7.8435,7.6637,6.5983
HRV,20.232,41.557,28.79,46.143,84.412,43.802,65.31
QRS,0.37838,0.4572,0.40471,0.43035,0.35043,0.38861,0.41285
PR,2.7979,2.8868,3.0527,2.6719,3.1756,3.7472,2.6775
QTc,11.849,15.766,17.984,9.7781,14.581,9.7151,10.609
,,,,,,,
Treated,Baseline,Day 1,Day 3,Day 5,Day 8,Day 10,Day 12
HR,4.9928,8.0697,9.374,6.5808,6.7927,6.637,6.1088
HRV,17.521,35.989,24.933,39.961,73.103,37.933,60.465
QRS,0.32769,0.39595,0.35049,0.37269,0.30348,0.33655,0.38223
PR,2.4231,2.5,2.6437,2.3139,2.7501,3.2452,2.4789
QTc,10.262,13.654,15.199,8.4681,11.528,8.9945,9.822
